Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Services: Electrical,"APPOINTMENT OF CONTRACTOR FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF INVERTOR BATTERY BACKUP / SOLAR SYSTEM IN EASTERN CAPE PROVINCE REGION THREE (03) FOR THE PERIOD OF THREE (03) YEARS.",18/08/2023,19/1/9/1/26TB(23),South African Police Service,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,13.09.2023,117 Cresswell Road - Silverton - Pretoria - 0184,Required CIDB grading of grade 5EP (Electrical Engineering Works - Infrastructure) or higher.,Kenneth Mohlala,MohlalaKK@saps.gov.za,012-841-7358,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 11:00","SAPS SCM Eastern Cape Provincial Office, Griffith Mxenge Hall, Buffalo Road, Zwelitsha, Esatern Cape","https://www.etenders.gov.za/home/Download/?blobName=33efc4a9-1110-4f0a-b102-169d047a4022.pdf&downloadedFileName=26TB%2823%29+page+49+to+97+of+144.pdf, https://www.etenders.gov.za/home/Download/?blobName=4939f83e-d91a-455e-a6c5-23a466ea1dcc.pdf&downloadedFileName=26TB%2823%29+page+01+to+48+of+144.pdf, https://www.etenders.gov.za/home/Download/?blobName=68828f29-0533-4313-9f5c-36be8f7dd84b.pdf&downloadedFileName=26TB%2823%29+page+98+to+144+of+144.pdf"
Information service activities,"PLEASE NOTE THAT THERE WAS AN ERROR REGARDING THE DATE FOR THE CLOSING DATE OF THE TENDER. 
KINDLY NOTE THAT THE CLOSING DATE IS 01 SEPTEMBER 2023, 12H00",18/08/2023,ERRATUM: RFP 142 AND 143/08/2023,Lejweleputswa District Municipality,Request for Bid(Open-Tender),Free State,18.08.2023,01.09.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. Brian Lehlekiso,brian@lejwe.co.za,057-101-0187,N/A,Yes,Yes,,,https://www.etenders.gov.za/home/Download/?blobName=bbdfd8b1-71ec-40da-9dd6-6f39c0040eea.pdf&downloadedFileName=ERRATUM-+RFP+142+AND+RFT+143-08-2023+CLOSING+DATE+01+SEPTEMBER+2023_0001.pdf
Activities of head offices management consultancy activities,"SUPPLY , DELIVERY S, AND INSTALLATION OF VERTICAL BLINDS  AT THULAMELA MUNICIPALITY OLD BUILDING.",18/08/2023,19/2023/2024,Thulamela Local Municipality,Request for Bid(Open-Tender),Limpopo,18.08.2023,07.09.2023,"THOHOYANDOU CIVIC CENTRE,OLD AGRIVEN BUILDING - THOHOYANDOU - THOHOYANDOU - 0950",N/A,MR MUDZANANI N.L,MudzananiNL@thulamela.gov.za,015-962-7707,N/A,Yes,Yes,"Wednesday, 30 August 2023 - 11:00",THULAMELA LOCAL MUNICIPALITY HEAD OFFICE COUNCIL CHAMBER,https://www.etenders.gov.za/home/Download/?blobName=1570b551-9ba8-4bce-aa76-c794b1585ec2.pdf&downloadedFileName=SUPPLY%2C+DELIVERY+AND+INSTALLATION+OF+VERTICAL+BLINDS+AT+THULAMELA.pdf
Services: Civil,"APPOINTMENT OF A CONTRACTOR FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION, MAINTENANCE, TESTING AND COMMISSIONING OF WATER BOREHOLE SYSTEM IN EASTERN CAPE PROVINCE FOR THE PERIOD OF TWO (02) YEARS.",18/08/2023,19/1/9/1/36TB(23),South African Police Service,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,14.09.2023,117 Cresswell Road - Silverton - Pretoria - 0184,Required CIDB grading of grade 4CE (Civil Engineering Works) or higher.,Kenneth Mohlala,MohlalaKK@saps.gov.za,012-841-7358,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 14:00","SAPS SCM Eastern Cape Provincial Office, Griffith Mxenge Hall, Buffalo Road, Zwelitsha, Esatern Cape","https://www.etenders.gov.za/home/Download/?blobName=0c81fb0a-4aaa-4990-960e-1c6bd88485ec.pdf&downloadedFileName=36TB%2823%29+page+46+to+91+of+134.pdf, https://www.etenders.gov.za/home/Download/?blobName=c34511cf-b88a-44de-8a3f-5375f64394e7.pdf&downloadedFileName=36TB%2823%29+page+01+to+45+of+134.pdf, https://www.etenders.gov.za/home/Download/?blobName=4810f159-d340-4246-8069-f372a5fffcf5.pdf&downloadedFileName=36TB%2823%29+page+92+to+134+of+134.pdf"
Legal and accounting activities,PROVISION OF SERVICES RELATING TO GOVERNANCE AND LEGAL RELATED MATTERS.  FOR A PERIOD OF SIX MONTHS,18/08/2023,OBP288/2023/24,Onderstepoort Biological Products Limited,Request for Quotation,Gauteng,18.08.2023,01.09.2023,100 old soutpan onderstepport - Pretoria - Pretoria - 2000,N/A,Indhir Naryan,indhir@obpvaccines.co.za,012-522-1500,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e9ba0e2b-972b-48cc-bce1-0aa1157dd1a6.doc&downloadedFileName=RFQ+OBP288.2023.24+PROVISION+OF+SERVICES+RELATING+TO+GOVERNANCE+AND+LEGAL+RELATED+MATTERS+6+MONTHS+.doc
Services: Civil,"APPOINTMENT OF A CONTRACTOR FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION, MAINTENANCE, TESTING AND COMMISSIONING OF WATER BOREHOLE SYSTEM IN FREE STATE PROVINCE FOR THE PERIOD OF TWO (02) YEARS.",18/08/2023,19/1/9/1/38TB(23),South African Police Service,Request for Bid(Open-Tender),Free State,18.08.2023,14.09.2023,117 Cresswell Road - Silverton - Pretoria - 0184,Required CIDB grading of grade 4CE (Civil Engineering Works) or higher.,Kenneth Mohlala,MohlalaKK@saps.gov.za,012-841-7358,N/A,Yes,Yes,"Thursday, 31 August 2023 - 14:00","SAPS SCM Provincial Office Free State, 38 Fritzstokenstroom, East End, Bloemfontein, Free State Prov","https://www.etenders.gov.za/home/Download/?blobName=48753b59-c9fa-4a8f-82ea-118a60dfca78.pdf&downloadedFileName=38TB%2823%29+page+89+to+132+of+132.pdf, https://www.etenders.gov.za/home/Download/?blobName=1f1b36b7-1473-4764-b57d-4277974961ff.pdf&downloadedFileName=38TB%2823%29+page+45+to+88+of+132.pdf, https://www.etenders.gov.za/home/Download/?blobName=65e59042-ca68-453b-a6c7-5b08815c670c.pdf&downloadedFileName=38TB%2823%29+page+01+to+44+of+132.pdf"
Services: Functional (Including Cleaning and Security Services),The appointment of a service provider for the provision of cleaning services to twenty-two (22) Department of Home Affairs’ (DHA) buildings for a period of thirty-six (36) months.,18/08/2023,DHA11-2023,Home Affairs,Request for Bid(Open-Tender),Gauteng,18.08.2023,22.09.2023,230 Johannes Ramokhoase Street - Pretoria Central - Pretoria - 0001,Refer to paragraph 4 on page 15 of the invitation to bid DHA11-2023 document.,Madimetja Mafafo,Madimetja.Mafafo@dha.gov.za,012-406-4017,N/A,Yes,NO,"Friday, 25 August 2023 - 10:00",https://teams.microsoft.com/l/meetup-join/19%3ameeting_YmNjNWI1NTAtZGMzMS00MjgyLWEwYmQtNzgyMTUxOTRlY,"https://www.etenders.gov.za/home/Download/?blobName=c213c8f5-32bf-4e58-a32f-2fba9ee3eba2.pdf&downloadedFileName=Department+of+Labour+Wage+Rates+Circular.pdf, https://www.etenders.gov.za/home/Download/?blobName=5e3ea5b6-f6ba-4509-ba5f-38b1e7dd270a.pdf&downloadedFileName=INVITATION+TO+BID+-+DHA11-2023.pdf"
"Other professional, scientific and technical activities","THE APPOINTMENT OF A SERVICE PROVIDER/S TO PROVIDE THE MARINE LIVING RESOURCES FUND (MLRF), THE DEPARTMENT OF FORESTRY, FISHERIES AND THE ENVIRONMENT (“THE DEPARTMENT”/DFFE) WITH VESSEL/S TO CONDUCT PELAGIC AND DEMERSAL FISHERIES RESEARCH SURVEYS IN THE EVENT THAT THE FRV AFRICANA IS NOT AVAILABLE DURING THE PERIOD FROM OCTOBER 2023 TO DECEMBER 2028",18/08/2023,MLRF198/23,Marine Living Resources Fund,Request for Bid(Open-Tender),Western Cape,18.08.2023,08.09.2023,2 Martin Hammerschlag Way - Foreshore - Cape Town  - 8001,N/A,Talitha Bikani,Tbikani@dffe.gov.za,021-402-3260,N/A,Yes,Yes,"Monday, 28 August 2023 - 10:00",Refer to cover page of the bid pack,https://www.etenders.gov.za/home/Download/?blobName=a8a8499e-7d01-4c42-b4b5-3b02314876b3.pdf&downloadedFileName=MLRF198-23-Final+bid+advert.pdf
Construction,UPGRADE OF ODOUR FILTER AT VOORBAAI SEWAGE PUMP STATION (VPS) FOR MOSSEL BAY MUNICIPALITY,18/08/2023,TDR19/2023/2024,Mossel Bay Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,22.09.2023,"Voorbaai Sewage Pump Station, Industry Road, Voorbaai - Mossel Bay Municipality - Mossel Bay - 6500",N/A,Mr Dawie Zwiegelaar,dzwiegelaar@mosselbay.gov.za,044-606-5275,N/A,Yes,Yes,"Wednesday, 30 August 2023 - 11:00","Voorbaai Sewage Pump Station, Industry Road, Voorbaai, Mossel Bay","https://www.etenders.gov.za/home/Download/?blobName=433c3c76-3d04-4abf-92a4-1ef9396195a7.pdf&downloadedFileName=19-2023-2024+TENDER+DOCUMENT.pdf, https://www.etenders.gov.za/home/Download/?blobName=61e45db4-b0b3-4af9-a81c-a8d726fe14c7.pdf&downloadedFileName=19-2023-2024+ADVERT.pdf"
Construction,Upgrading and refurbishment of Bulk Water Supply and Sanitation at NYANGA SENIOR SECONDARY SCHOOL,18/08/2023,AW2023/24/06,Amatola Water Board,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,08.09.2023,6 Lancaster Road - East london - East london - 5217,N/A,N.Ndlamla,nndlamla@amatolawater.co.za,043-707-3700,N/A,Yes,Yes,"Friday, 25 August 2023 - 11:00","Clarkebury Agricultural School, CHDM, Ngcobo. (-31.7855739 28.2873161)",https://www.etenders.gov.za/home/Download/?blobName=c748fb82-4635-42f7-a658-ddae71c74808.pdf&downloadedFileName=Tender+Document_AW20232406_NYANGA.pdf
Construction,Upgrading and refurbishment of Bulk Water Supply and Sanitation at CLARKEBURY AGRICULTURAL SCHOOL,18/08/2023,AW2023/24/05,Amatola Water Board,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,08.09.2023,6 Lancaster Road - East london - East london - 5217,N/A,N.Ndlamla,nndlamla@amatolawater.co.za,043-707-3700,N/A,Yes,Yes,"Friday, 25 August 2023 - 11:00","Clarkebury Agricultural School, CHDM, Ngcobo. (-31.7855739 28.2873161)",https://www.etenders.gov.za/home/Download/?blobName=b83ee4e4-9f94-4629-a975-920291c52950.pdf&downloadedFileName=Tender+Document_AW20232405_CLARKEBURY.pdf
Other service activities,REPAIR AND PAINTING (MAINTENANCE) OF THOHOYANDOU STADIUM MAIN GRANDSTAND ROOF STRUCTURE FLOOD LIGHTS AND MEDIA ROOM.,18/08/2023,20/2023/2024,Thulamela Local Municipality,Request for Bid(Open-Tender),Limpopo,18.08.2023,07.09.2023,"THOHOYANDOU CIVIC CENTRE,OLD AGRIVEN BUILDING - THOHOYANDOU - THOHOYANDOU - 0950",N/A,MR MUDZANANI N.L,MudzananiNL@thulamela.gov.za,015-962-7707,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00",THULAMELA LOCAL MUNICIPALITY HEAD OFFICE COUNCIL CHAMBER,https://www.etenders.gov.za/home/Download/?blobName=ce337bb6-5a20-4e94-a141-5a718fce0833.pdf&downloadedFileName=REPAIR+AND+PAINTING+%28MAINTENANCE%29+OF+THOHOYANDOU+STADIUM+MAIN+GRANDSTAND+ROOF+STRUCTURE+FLOOD+LIGHTS+AND+MEDIA+ROOM.pdf
Other service activities,APPOINTMENT OF A SERVICE PROVIDER TO DEVELOP INTEGRATED MANAGEMENT PLANS FOR THE MAHUSHE SHONGWE NATURE RESERVE AND FOR THE STERKSPRUIT NATURE RESERVE,18/08/2023,MTPA/20232024/BIO/01,Mpumalanga - Mpumalanga Tourism and Parks Agency (MTPA),Request for Bid(Open-Tender),Mpumalanga,18.08.2023,12.09.2023,"N4 National Road, Block E - Halls Mataffin , Nelspruit - Mbombela, Nelspruit - 1200",N/A,Mr. Evans Ngwenya,evans.ngwenya@mtpa.co.za,013-065-0886,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=2e2aeec1-8316-415e-a0e2-91175f34aa55.pdf&downloadedFileName=MTPA+BIO+01.pdf
Construction,PAVING OF KALKSLOOT INTERNAL STREET,18/08/2023,TN026/2023,Dawid kruiper Local Municipality,Request for Bid(Open-Tender),Northern Cape,18.08.2023,22.09.2023,MUTUAL STREET - UPINGTON - UPINGTON - 8801,CIDB 6CE OR HIGHER,Hilton Wilson,hilton.wilson@dkm.gov.za,054-338-7056,N/A,Yes,Yes,"Friday, 01 September 2023 - 11:00",Council Chambers at the Dawid Kruiper Head Offices located in Mutual Street Upington,https://www.etenders.gov.za/home/Download/?blobName=52fd5934-43ff-4001-b4e2-53a48df4123f.pdf&downloadedFileName=TN026+2023+-+TENDER+NOTICE+AND+INVITATION+TO+TENDER.pdf+advert.pdf
Construction,UPGRADING OF THE WOLWEDANS EMERGENCY ACCESS ROAD AT GREAT BRAK RIVER,18/08/2023,TDR22/2023/2024,Mossel Bay Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,22.09.2023,,N/A,Mr Martyn le Roux,martyn@lyners.co.za,044-606-5192,N/A,Yes,Yes,"Wednesday, 30 August 2023 - 11:00","Municipal Offices in Great Brak River, 5 Charles Street, Great Brak River",https://www.etenders.gov.za/home/Download/?blobName=023ece9c-dba6-40ae-aaed-6892784fd812.pdf&downloadedFileName=22-2023-2024+ADVERT.pdf
Other personal service activities,"APPOINTMENT OF A SERVICE PROVIDER TO DEVELOP AN INTEGRATED MANAGEMENT PLANS FOR THE BARBERTON-MAKHONJWA MOUNTAINLANDS WORLD HERITAGE SITE, LOCATED WITHIN THE MBOMBELA AND ALBERT LUTHULI LOXAL MUNICIPALITY",18/08/2023,MTPA/20232024/BIO/02,Mpumalanga - Mpumalanga Tourism and Parks Agency (MTPA),Request for Bid(Open-Tender),Mpumalanga,18.08.2023,12.09.2023,"N4 National Road, Halls Getaway - Mataffin - Nelspruit - 1200",N/A,Mr. Evans Ngwenya,evans.ngwenya@mtpa.co.za,013-065-0886,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=8f7816a4-4971-45fa-85e9-3234e888b653.pdf&downloadedFileName=MTPA+BIO+02.pdf
Supplies: General,"Department of Justice: 36 Months contract for Supply and Delivery of Cleaning Material to 55 insourced Magistrate Court Namely: South Coast Cluster(A),uMzinyathi Cluster(B), Midlands Cluster(C) and North Coast Cluster(D)",18/08/2023,DBN23/08/05,Public Works,Request for Bid(Open-Tender),National,18.08.2023,13.09.2023,157 Monty Naicker (Corner Aliwal and Pine Street) - Durban - Durban - 4001,"Justice: 36 Months Supply and Delivery of Cleaning Material to 55 insourced Magistrate Courts Namely: South Coast Cluster(A), uMzinyathi Cluster(B), Midlands Cluster(C) and North Coast Cluster(D)
Tender to be awarded to the highest scoring acceptance tender. Points will be allocated for:
(a) Price and Preference points scoring system applicable is 80/20: according to preferential procurement regulation PPR 2022
(b) A tenderer complies with specific goals for Preferential Procurement as stated  on the tender document.
Tenderer located(Local, District, Municipality ,Metro or Province) where service is required.
Tenderer being an EME or QSE which is at least 51% owned by Black people/Black women/People with Disability/Black Youth",Ms. Thandeka Mkhize,fortunate.mhlongo@dpw.gov.za,083-569-1481,N/A,Yes,Yes,"Monday, 28 August 2023 - 11:00","NDPWI Lords Ground, 186 KE Masinga Road(Between SANDF and City Engineers)",https://www.etenders.gov.za/home/Download/?blobName=d6735556-e945-44ad-b0e8-0e6ec2dfe23e.pdf&downloadedFileName=DBN230805+Justice+55+insource+magistrate+courts+Treasury+Doc.pdf
Services: General,REQUEST FOR PROPOSALS FOR APPOINTMENT OF SUITABLY QUALIFIED CONSULTANTS FOR THE DESIGN AND IMPLEMENTATION OF THE BULK WATER PIPELINE FROM MASSELSPOORT WATER TREATMENT PLANT TO GLEN AGRICULTURAL COLLEGE IN THE FREE STATE PROVINCE.,18/08/2023,DPWFS RFP 002/2023,Free State - Public Works,Request for Proposal,Free State,18.08.2023,18.09.2023,"O.R Tambo House, Cnr St Andrew Street and Markgraaff Street, Bloemfontein  - Bloemfontein - Bloemfontein - 9301","Bids must be delivered at Department of Public Works and Infrastructure Ground Floor (Main Entrance Foyer) OR Tambo House (Lebohang Building) St Andrew Street Bloemfontein.
Bids are to be completed in accordance with the conditions and bid rules contained in the bid documents. Bid documents must be properly indexed and neatly bound.",Mr. Mosiuoa Kolobe,kolobem@fsworks.gov.za,051-492-1750,N/A,Yes,Yes,"Sunday, 06 August 2023 - 10:00","O.R Tambo House, Cnr St Andrew Street and Markgraaff Street, Bloemfontein",https://www.etenders.gov.za/home/Download/?blobName=db0a1514-1e80-4e24-b52e-337ec3331621.pdf&downloadedFileName=DPWFS+RFP+002+2023+MASELSPOORT-GLEN+PIPELINE+TENDER+DOC+Consultants.pdf
Other service activities,"APPOINTMENT OF A SERVICE PROVIDER TO REVIEW INTERGRATED MANAGEMENT PLANS FOR THE LOSKOP DAM NATURE RESERVE,MTHETHOMUSHA NATURE RESERVE,MANYELETI NATURE RESERVE AND MDALA NATURE RESERVE",18/08/2023,MTPA/20232024/BIO/03,Mpumalanga - Mpumalanga Tourism and Parks Agency (MTPA),Request for Bid(Open-Tender),Mpumalanga,18.08.2023,12.09.2023,"N4 National Road, Halls Getaway - Mataffin - Mbombela, Nelspruit - 1200",N/A,Mr. Evans Ngwenya,evans.ngwenya@mtpa.co.za,013-065-0886,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=81ca28c4-b04a-4a5b-bced-66b2330b8872.pdf&downloadedFileName=MTPA+BIO+03.pdf
Disposals: General,"FRAMEWORK CONTRACT FOR THE APPOINTMENT OF SERVICE PROVIDERS FOR THE HIRING, DELIVERY AND MAINTENANCE OF MOBILE TOILETS WITHIN THE BOUNDARIES OF NEWCASTLE MUNICIPALITY, ON AN AS AND WHEN REQUIRED BASIS FOR A PERIOD OF 36 MONTHS",18/08/2023,A016-2023/24,Newcastle Local Municipality,Request for Bid(Limited-Tender,KwaZulu-Natal,18.08.2023,20.09.2023,"Newcastle Municipality Tower blk, 37 Murchison Street 2nd Floor, Central - Central - Newcastle - 2940",70 % Functionality,Nomthandazo Mavuso,nomthandazo.mavuso@newcastle.gov.za,072-830-5057,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=31ec4ad4-1b66-473a-9eb6-ad260aac805d.pdf&downloadedFileName=A016+-+2023%2724+FRAMEWORK+CONTRACT+FOR+SUPPLY+AND+DELIVERY+OF+MOBILE+TOILETS+WITHIN+THE+BOUNDARIES+OF+NM.pdf
Education,PROVISION OF EZEMVELO’S HIREFIGHTING TRAINING AS AND WHEN REQUIRED FOR THE PERIOD OF THREE (03) YEARS,18/08/2023,10170923,Kwa-Zulu Natal - Ezemvelo KwaZulu-Natal Wildlife,Request for Quotation,KwaZulu-Natal,18.08.2023,25.08.2023,Midmar Nature  - Howick - Howick - 3201,N/A,Nobuhle Magubane,hlelan@kznwildlife.com,033-845-1833,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=843fa3f5-8235-4e36-928c-45f4d3e950b9.pdf&downloadedFileName=FIREFIGHTING+DOCUMENT+%28002%29.pdf
Construction,Upgrading and refurbishment of Bulk Water Supply and Sanitation at CLARKEBURY AGRICULTURAL SCHOOL and NYANGA SENIOR SECONDARY SCHOOL (Drawings),18/08/2023,AW2023/24/05 and AW2023/24/06,Amatola Water Board,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,08.09.2023,6 Lancaster Road - East london - East london - 5217,N/A,N.Ndlamla,nndlamla@amatolawater.co.za,043-707-3700,N/A,Yes,Yes,"Friday, 25 August 2023 - 11:00","Clarkebury Agricultural School, CHDM, Ngcobo. (-31.7855739 28.2873161)","https://www.etenders.gov.za/home/Download/?blobName=29eeaca7-1285-421c-8b45-81d75851e120.pdf&downloadedFileName=Tender+Drawings_AW20232406_NYANGA.pdf, https://www.etenders.gov.za/home/Download/?blobName=5cf133aa-5864-45c1-b5f7-bc7c120877d9.pdf&downloadedFileName=Tender+Drawings_AW20232405_CLARKEBURY.pdf"
Other personal service activities,APPOINTMENT OF A SERVICE PROVIDER TO REVIEW THE MPUMALANGA TOURISM MARKETING STRATEGY 2023,18/08/2023,MTPA/20232024/TOU/01,Mpumalanga - Mpumalanga Tourism and Parks Agency (MTPA),Request for Bid(Open-Tender),Mpumalanga,18.08.2023,12.09.2023,"N4 National Road, Halls Getaway - Mataffin - Nelspruit - 1200",N/A,Ms. Priscilla Gwebu,Priscilla.Gwebu@mtpa.co.za,013-065-0639,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=21d9b92c-245d-46b1-a6e6-1b9d6eaaca30.pdf&downloadedFileName=MTPA+TOU+01.pdf
Services: Building,"APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND INSTALLATION OF WINDOWS, DOOR GLASSES AND REPAIR  OF WINDOW FRAME AT THE DEPARTMENT OF SCIENCE AND INNOVATION (DSI)",18/08/2023,RFQ2023-08-29,National Science and Innovation,Request for Proposal,Gauteng,18.08.2023,29.08.2023,Building No. 53 (CSIR South Gate Entrance)   Meiring Naudé Road - Brummeria - PRETORIA - 0001,"Please note that this request is being re-started because the specifications had changers. If you submitted a quotation before, please forward us an updated quote.

Also, contact odessa.martin@dst.gov.za  for the SBD forms if you are interested to quote.",ODESSA MARTIN,odessa.martin@dst.gov.za,012-843-6752,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e73a4fe7-ad1e-4af6-a2cd-51f1d160b90c.docx&downloadedFileName=Window+glass+29+August+2023.docx
Financial and insurance activities,RE- ADVERTISEMENT: PANEL FOR SOURCING OF FUNDING FOR THE PURPOSES OF FINANCING AND IMPLEMENTING TURNKEY PROJECTS WITHIN NEWCASTLE MUNICIPALITY ON AN AS AND WHEN REQUIRED FOR THE PERIOD OF 36 MONTHS.,18/08/2023,Re A057-2022/23,Newcastle Local Municipality,Request for Proposal,KwaZulu-Natal,18.08.2023,20.09.2023,Newcastle Municipality  - Central  - Newcastle  - 2940,60% functionality,Phelelani Ntshingila,phelelani.ntshingila@newcastle.gov.za,034-328-7852,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=575eade9-cad3-49d7-8f12-1588deb28a3b.pdf&downloadedFileName=A057-+2022%2723+Expression+of+interest+for+a+panel+sourcing+grant+funding.pdf
Other service activities,DESING AND CONSTRUCTION OF TURNKEY STREET LIGHTS FROM TSHIKEVHA (THOHOYANDOU) TO SIBASA CALTEX.,18/08/2023,18/2023/2024,Thulamela Local Municipality,Request for Bid(Open-Tender),Limpopo,18.08.2023,12.09.2023,"THOHOYANDOU CIVIC CENTRE,OLD AGRIVEN BUILDING - THOHOYANDOU - THOHOYANDOU - 0950",N/A,MR PHASWANA K,PhaswanaK@thulamela.gov.za,015-962-7676,N/A,Yes,Yes,"Wednesday, 30 August 2023 - 11:00",THULAMELA LOCAL MUNICIPALITY HEAD OFFICE COUNCIL CHAMBER,https://www.etenders.gov.za/home/Download/?blobName=9377a0fa-4b5e-48f8-bfed-ee4ff2a73e08.pdf&downloadedFileName=DESIGN+AND+CONSTRUCTION+OF+TURNKEY+STREET+LIGHTS+FROM+TSHIKEVHA+%28THOHOYANDOU%29+TO+SIBASA+CALTEX.pdf
"Other professional, scientific and technical activities","APPOINTMENT OF A SERVICE PROVIDER TO DESIGN, DEVELOP AND PROVIDE WEBSITE FOR MTPA",18/08/2023,MTPA/20222023/COR/01-Re-advertisement,Mpumalanga - Mpumalanga Tourism and Parks Agency (MTPA),Request for Bid(Open-Tender),Mpumalanga,18.08.2023,12.09.2023,"N4 National Road, Halls Getaway - Mataffin - Nelspruit - 1200",N/A,Ms. Jabulile Makhubela,jabulile.Makhubela@mtpa.co.za,013-065-0583,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=589bcc79-acda-4086-a91d-f634e41f9096.pdf&downloadedFileName=MTPA+COR+01.pdf
Other service activities,DESIGN AND CONSTRUCTION OF TURN.EY STREET LIGHTS FROM JJ MOTORS (THOHOYANDOU) TO SIBASA CALTEX.,18/08/2023,17/2023/2024,Thulamela Local Municipality,Request for Bid(Open-Tender),Limpopo,18.08.2023,12.09.2023,"THOHOYANDOU CIVIC CENTRE,OLD AGRIVEN BUILDING - THOHOYANDOU - THOHOYANDOU - 0950",N/A,MR MUDZILI TP,Mudzilitp@thulamela.gov.za,015-962-7629,N/A,Yes,Yes,"Wednesday, 30 August 2023 - 11:00",THULAMELA LOCAL MUNICIPALITY HEAD OFFICE COUNCIL CHAMBER,https://www.etenders.gov.za/home/Download/?blobName=bdfd004f-9f7c-440c-b219-36a8003d2ed7.pdf&downloadedFileName=DESIGN+AND+CONSTRUCTION+OF+TURNKEY+STREET+LIGHT+FROM+JJ+MOTORS+%28THOHOYANDOU%29+TO+SIBASA+CALTEX.pdf
Services: Professional,"PROVISION OF LAWN MOWING SERVICES FOR THE CITY OF CAPE 
TOWN",18/08/2023,30S/2023/24,City of Cape Town,Request for Proposal,Western Cape,18.08.2023,19.09.2023,"12 Hertzog Boulevard, Civic Centre - Cape Town - CAPE TOWN - 8000",N/A,Joy Bennet,Joy.Bennett@capetown.gov.za,021-400-5131,N/A,Yes,NO,"Friday, 01 September 2023 - 11:00","Jan Burger Sports Complex, 5 De Grendel Road  Parow North 7500 or via Skype  https://meet.capetown.g",https://www.etenders.gov.za/home/Download/?blobName=69614f4b-f6b9-4aba-abfc-c7546c46c791.pdf&downloadedFileName=TENDER+30S-2023-24.pdf
Supplies: General,Supply and deliver Boudon Tensiometers,18/08/2023,RFQ 016293 -Inf-2023,Agricultural Research Council,Request for Quotation,Western Cape,18.08.2023,23.08.2023,"ARC Infruitec , Helshoogte Road - Stellenbosch - Stellenbosch - 7599",Quotations can be sent to Mgwatyul@arc.agric.za,Linda Mgwatyu,Mgwatyul@arc.agric.za,021-809-3172,021-809-3439,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=497d3800-dc37-4506-a6b2-e01e0f9a560a.pdf&downloadedFileName=Lewu+SPECS+FOR+60+x+300mm+TENSIOMETERS.pdf
Construction of buildings,Upgrades to infrastructure at Ndabambi Combined Primary School,18/08/2023,ZNTU 01970 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,20.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement 5GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=c6a642ac-f715-4677-a3d8-1df871742fb9.pdf&downloadedFileName=Ndabambi+CS-Volume+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=46bd5b30-f98f-4e43-810d-85ad50c26c86.pdf&downloadedFileName=Ndabambi+CS-Volume+2.pdf"
