Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Services: Electrical,Maintenance of highmast public lighting installations,25/08/2023,38S/2023/24,City of Cape Town,Request for Bid(Open-Tender),Western Cape,25.08.2023,28.09.2023,"12 Hertzog Boulevard - 2nd Floor, Concourse Level, Civic Centre, - Cape Town - 8001",Tender Fee: R200,Nandipha Ncele,Nandipha.Ncele@capetown.co.za,021-444-5058,N/A,Yes,NO,"Wednesday, 13 September 2023 - 10:00","Auditorium, Ground Floor, Head Office Building,  Bloemhof Centre, Oakdale, Bellville.",https://www.etenders.gov.za/home/Download/?blobName=a9fef4f3-2aa5-4a4b-88a5-32a52079dc57.pdf&downloadedFileName=38S_23_24+Final+Document.pdf
Services: Electrical,The supply and delivery of electricity prepayment meters,25/08/2023,39G/2023/24,City of Cape Town,Request for Bid(Open-Tender),Western Cape,25.08.2023,28.08.2023,"12 Hertzog Boulevard - 2nd Floor, Concourse Level, Civic Centre, - Cape Town - 8001",N/A,Eugene Coetzeee,Eugene.Coetzee@capetown.co.za,021-444-2772,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=7a7bea2d-cd0f-4107-afb0-a271ad00d500.pdf&downloadedFileName=Tender+039G_2023_24The+Supply+and+Delivery+of+Electricity+Prepayment+Meters.pdf
Supplies: General,"Supply, delivery, installation and commissioning of 300kva generator at security management unit building – ward 26",25/08/2023,CSA-3294,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,08.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"A COMPULSORY clarification meeting will be held at 09:00, on 2023-09-01, at Security Management Unit Parking, 3 Jelf Taylor Crescent, Durban.
Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-08-31. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-04.

3EB or higher

Technical:
Kiran Bahal
 031-311 7133
Contractual:
Nothando Ngubane
 031-311 7380",NOTHANDO NGUBANE,NOTHANDO.NGUBANE@DURBAN.GOV.ZA,031-311-7380,N/A,Yes,Yes,"Friday, 01 September 2023 - 09:00","Security Management Unit Parking, 3 Jelf Taylor Crescent, Durban.",https://www.etenders.gov.za/home/Download/?blobName=813db432-33d0-4c1c-be3b-89b1b7aeb2d6.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Civil engineering,Maintenance repairs to roads and stormwater infrastructure as and when required in the abm areas located within the north region of ethekwini municipality for a period of 24 months,25/08/2023,1M-25291,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.

5CE or higher

A. Naidoo
031-322 6830
Email: Adrian.Naidoo@durban.gov.za",ADRIAN NAIDOO,ADRIAN.NAIDOO@DURBAN.GOV.ZA,031-322-6830,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=cee44aa7-b940-49de-abb0-c0cf04a1b4a0.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Other service activities,Request for proposals professional consultancy services for human settlements projects in regions of the eastern cape,25/08/2023,CDC/265/23 ET AL,Coega Development Cooperation,Request for Proposal,Eastern Cape,25.08.2023,18.09.2023,,"Bid documents will be available for download from the CDC Website (www.coega.co.za) from 25 August 2023 12:00 noon, at no cost.  Potential bidders will be required to provide their email addresses in the system before downloading the documentation for correspondence purposes.  Potential bidders must therefore ensure that the email addresses are correct. For more details on the advert, please visit CDC website.",Ms Z Mtanda,dhstenders@coega.co.za,000-000-0000,000-000-0000,Yes,NO,"Thursday, 31 August 2023 - 11:00",Microsoft Teams,https://www.etenders.gov.za/home/Download/?blobName=3176e629-78c3-47c3-bee8-5cd551a242c0.pdf&downloadedFileName=CDC-265-23+et+al++Advert+-+August+2023.pdf
Mining of coal and lignite,Appointment of a service provider for broad-based black economic empowerment (b-bbee) verification service and issuing b-bbee certificate for african exploration mining and finance corporation soc ltd (aemfc) once off service.,25/08/2023,6000007585,African Exploration Mining and Finance Corporation Soc Ltd,Request for Quotation,Mpumalanga,25.08.2023,31.08.2023,"AEMFC Head Office, Building 1, 1st Floor, Waterfall Corporate Campus, 74 Waterfall Drive, Waterfall - Midrand - Midrand - 2190",N/A,Malingane Knowledge,knowledgem@aemfc.co.za,010-010-6100,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=d11db503-82de-4847-8ac1-41c4af0af881.xlsx&downloadedFileName=Annexure+B+Verification+Team+Experience++Verifier.xlsx, https://www.etenders.gov.za/home/Download/?blobName=48b74b3a-8158-427f-8ca6-bfe6fe5c90d5.xlsx&downloadedFileName=Annexure+A++Verification+Agency+Experience.xlsx, https://www.etenders.gov.za/home/Download/?blobName=fc929f6e-405c-497f-af8f-d630e6a69957.pdf&downloadedFileName=BBBEEE+VERIFIER+SCOPE+OF+WORK.pdf"
Civil engineering,Maintenance repairs to roads and stormwater infrastructure as and when required in the abm areas located within the west central region of ethekwini municipality for a period of 24 months,25/08/2023,1M-25295,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.

5CE or higher

A. Naidoo
031-322 6830
Email: Adrian.Naidoo@durban.gov.za",ADRIAN NAIDOO,ADRIAN.NAIDOO@DURBAN.GOV.ZA,031-322-6830,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=b8f8793e-3d8d-418b-8742-f1f01813801f.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Services: Professional,Capenature requires a service provider to implement a fully managed vulnerability management and security incident and event management (siem) solution for capenature over a period of three (3) years.,25/08/2023,WCNCB 03/08/2023,Western Cape - Nature Conservation Board,Request for Bid(Open-Tender),Western Cape,25.08.2023,22.09.2023,Cnr Bosduif & Volstruis Streets - Bridgetown - Cape Town - 7764,"Compulsory briefing session will be conducted at CapeNature Head Office on Tuesday 5 September 2023 at 10 AM.

CapeNature Head Office 
PGWC Shared Services Centre
3rd Floor
Cnr Bosduif & Volstruis Streets
Bridgetown
7764",Reza Barnard,rbarnard@capenature.co.za,087-087-3198,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 10:00","3rd Floor, CapeNature Head Office",https://www.etenders.gov.za/home/Download/?blobName=781f5bd8-172a-4551-ab34-27f6cd3024be.pdf&downloadedFileName=WCNCB+03082023+-+SIEM+Tender.pdf
Construction,The provision of building refurbishment and maintenance at vulcan substation security building and general store for the period of three months.,25/08/2023,MWP2091TX.,ESKOM,Request for Proposal,Mpumalanga,25.08.2023,22.09.2023,WITBANK VALCAN SUBSTATION - WITBANK - WITBANK - 1043,PLEASE BRING YOUR PROTECTIVE EQUIPMENTS FOR THE MEETING.,Mahlatse Mochitelo,mochitma@eskom.co.za,011-629-5024,086-123-4567,Yes,NO,"Wednesday, 06 September 2023 - 10:00",Venue: Vulcan Substation Witbank.,"https://www.etenders.gov.za/home/Download/?blobName=f70a14e8-f325-462a-91dd-0e93939dab74.pdf&downloadedFileName=Integrity+Pact+Declaration+Form_ANNEXURE+A1.pdf, https://www.etenders.gov.za/home/Download/?blobName=5c2ed8bc-3add-41ce-b8a8-1742e639a6a7.pdf&downloadedFileName=Annexure+D.pdf, https://www.etenders.gov.za/home/Download/?blobName=4da2d68c-b7f2-472a-b384-1accc11ade25.pdf&downloadedFileName=Environmental+Tender+Evaluation+and+Scoring+Card.pdf, https://www.etenders.gov.za/home/Download/?blobName=cde3008b-3775-410d-8384-1c181c4f8b0e.pdf&downloadedFileName=Scope+of+work.pdf, https://www.etenders.gov.za/home/Download/?blobName=a4bcac77-34e4-4a04-a753-3413e69c606a.pdf&downloadedFileName=240-105658000+Supplier+Quality+Management+Specification_Rev3_2021.pdf, https://www.etenders.gov.za/home/Download/?blobName=51f5b6fb-f7f4-431b-aefa-36c7f41ac8df.pdf&downloadedFileName=SDLI+Strategy+-+Refurbishment+maitanance.pdf, https://www.etenders.gov.za/home/Download/?blobName=59c15c15-7aea-4c12-b741-3c10aa69bf84.pdf&downloadedFileName=Eskom+General+Conditions+of+Purchase+-+July+2022.pdf, https://www.etenders.gov.za/home/Download/?blobName=75d8f244-7a49-40ba-8c77-3d86d90d81bf.xlsx&downloadedFileName=Supplier+Quality+Management_List+of+Returnables+Rev+7_VULCAN+SECURITY+AND+STORES+UPGRADE_24.07.23.xlsx, https://www.etenders.gov.za/home/Download/?blobName=46acc847-9315-48d0-9262-511b1cc50c3d.pdf&downloadedFileName=SBD+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=57469acd-b6ec-4a61-bd1a-5d7ef8d5bfed.pdf&downloadedFileName=Annexture+C.pdf, https://www.etenders.gov.za/home/Download/?blobName=3775123f-d962-4b0b-9a18-5ddcd13b2aa9.xls&downloadedFileName=Local+content+Annexure+C%2CD+%26+E.xls, https://www.etenders.gov.za/home/Download/?blobName=07486382-ac3b-4020-8b3f-6f1ded693933.pdf&downloadedFileName=SBD+6.2+Local+Content+in+terms.pdf, https://www.etenders.gov.za/home/Download/?blobName=abaa5179-147c-4afd-a6a1-73ab3473a603.pdf&downloadedFileName=Acknowledgement+Form+for+Eskom+SHE+Rules+and+other+Requirements.pdf, https://www.etenders.gov.za/home/Download/?blobName=98bad0a7-6524-4217-af35-7f8c37092fb8.pdf&downloadedFileName=Annexure+E.pdf, https://www.etenders.gov.za/home/Download/?blobName=993094fd-a85c-435b-9210-8658046555f4.pdf&downloadedFileName=Sample_of_affidavit+for+vendors+with+turnover+less+than+R10M.pdf, https://www.etenders.gov.za/home/Download/?blobName=2d56064f-bff1-49d7-ac67-894d4174757f.pdf&downloadedFileName=Eskom+Integrity+Pact.pdf, https://www.etenders.gov.za/home/Download/?blobName=8a6e09f8-7adb-466a-8581-9fa876f87a5a.pdf&downloadedFileName=Contractor+Health+and+Safety+Requirements+32-136+rev+4.pdf, https://www.etenders.gov.za/home/Download/?blobName=25014d88-85ef-419e-98c6-b4ebb70a6edb.pdf&downloadedFileName=NEC+3+ECSC+Contract.pdf, https://www.etenders.gov.za/home/Download/?blobName=e1c4de8b-ebc3-4188-81df-b993da56aee6.pdf&downloadedFileName=Drawings.pdf, https://www.etenders.gov.za/home/Download/?blobName=cd812ddc-2381-4641-80b2-be7c8d5d98b3.xlsx&downloadedFileName=Revised+BOQ.xlsx, https://www.etenders.gov.za/home/Download/?blobName=8b758192-a68c-437f-9ad5-c801f5a3cb6c.pdf&downloadedFileName=Supporting+Documentation.pdf, https://www.etenders.gov.za/home/Download/?blobName=8879d77a-cd5f-44d1-b5fb-c8d723b604b0.pdf&downloadedFileName=Invitation+to+Tender+for+building+refurbishment+at+Vulcan+Subsstation_24082023.pdf, https://www.etenders.gov.za/home/Download/?blobName=3102b3b7-1f23-491f-abfc-da3bfe1d78a4.docx&downloadedFileName=Security+Building+Renovations+at+Vulcan+SS+-+SHE+Tender+Evaluation+Criteria+%28High+risk%29.docx, https://www.etenders.gov.za/home/Download/?blobName=063e40d6-370a-40a0-9a3d-dc741080dba3.pdf&downloadedFileName=240-68099512+Form+A+Rev+9_VULCAN+SECURITY+AND+STORES+UPGRADE_24.07.23.pdf, https://www.etenders.gov.za/home/Download/?blobName=5369fc6a-bac1-4e6c-9e4e-e57179a98871.xlsx&downloadedFileName=Technical+%2B+Evaluation+sheet+General+Maintenance+contract.xlsx, https://www.etenders.gov.za/home/Download/?blobName=1e1817b5-9772-4d81-a32c-f6122b1a0efa.pdf&downloadedFileName=Standard_Bidding_Document_%28SBD%29_6.1_IN_TERMS_OF_PPR_2022.pdf, https://www.etenders.gov.za/home/Download/?blobName=dedd0e1e-4846-44e6-ada4-ffeb85f98636.pdf&downloadedFileName=Annexure+A.1+Acknowledgement+Form+-+Reverse+E-auctioning+Training.pdf"
Supplies: Medical,"The supply, delivery, installation, commissioning and maintenance of o-arm machine for a period of three years (36 months)",25/08/2023,GT/GDH/065/2023,Gauteng - Health,Request for Bid(Open-Tender),Gauteng,25.08.2023,15.09.2023,45 Commissioner Street - Marshalltown - JOHANNESBURG - 2000,N/A,Ms Masoto Malele/ Mr Jeffrey Mafumo,Masoto.Malele@gauteng.gov.za,011-241-5755,000-000-0000,Yes,Yes,"Thursday, 31 August 2023 - 10:00","GAUTENG HEALTH, BOARDROOM 206, 45 COMMISSIONER STREET","https://www.etenders.gov.za/home/Download/?blobName=76abb7b5-e679-4529-bad5-7c468c0b2c18.pdf&downloadedFileName=GT+GDH+065+2023+SECTION+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=af98b601-ac08-4b3e-bcc4-b23b45622e2f.xlsx&downloadedFileName=PRICING+SCHEDULE+GT+GDH+065+2023.xlsx, https://www.etenders.gov.za/home/Download/?blobName=c692813d-3e88-4508-b48e-bf19ddf6f96d.xlsx&downloadedFileName=Technical+specification+GT+GDH+065+2023.xlsx, https://www.etenders.gov.za/home/Download/?blobName=22397ffa-d43e-47f4-a9a9-d4225319544c.pdf&downloadedFileName=GT+GDH+065+2023+SECTION+2.pdf"
Civil engineering,"Upgrading of gravel roads at avian park, worcester",25/08/2023,BV1040/2023,Breede Valley Municipality,Request for Bid(Open-Tender),Western Cape,25.08.2023,29.09.2023,Worcester - Worcester - Worcester - 6850,N/A,Charlton Cupido,charlton@bvm.gov.za,023-348-2947,N/A,Yes,Yes,"Wednesday, 06 September 2023 - 14:00","Council Chambers, 1st floor, Civic Centre, 30 Baring Street, Worcester, GPS Co-ordinates: 33°38'41.9",https://www.etenders.gov.za/home/Download/?blobName=8a2857a2-88df-4bae-8d05-74987200542e.pdf&downloadedFileName=Tender+Notice+and+Invertation+to+Tender+BV1040.pdf
Civil engineering,Maintenance repairs to roads and stormwater infrastructure as and when required in the abm areas located within the south-central region of ethekwini municipality for a period of 24 months,25/08/2023,1M-25297,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.

5CE or higher

A. Naidoo
031-322 6830
Email: Adrian.Naidoo@durban.gov.za",ADRIAN NAIDOO,ADRIAN.NAIDOO@DURBAN.GOV.ZA,031-322-6830,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=b6eefcbe-a92d-47e4-b27f-7d108c9b67a5.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Other service activities,"Supply, delivery, installation and operationalisation of air quality monitoring sensors",25/08/2023,DPEMSE24/ 2022/2023 Re-advert,Capricorn District Municipality,Request for Quotation,Limpopo,25.08.2023,26.09.2023,41 Biccard Street - Polokwane - Polokwane - 0700,N/A,Modjadji Rangwato,rangwatom@cdm.org.za,015-294-1287,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00","Capricorn District Municipality, Council Chamber, 41 Biccard Street, Polokwane","https://www.etenders.gov.za/home/Download/?blobName=652ab903-6f89-468c-ab16-15a48415fed5.pdf&downloadedFileName=Bid+Notice+Supply+And+Delivery+Installation+And+Operationalisation+Of+Two+Air+Quality+Monitoring+Sensors.pdf, https://www.etenders.gov.za/home/Download/?blobName=4b0f30cd-e46e-462a-9703-5b6aa49d9341.pdf&downloadedFileName=SUPPLY%2C+DELIVERY%2C+INSTALLATION+AND+OPERATIONALISATION+OF+AIR+QUALITY+MONITORING+SENSORS.pdf"
Accommodation,Invitation for proposals from suitably qualified service providers to administer and operate nelson mandela museum qunu youth & heritage centre for a period of five years.,25/08/2023,RFP-2023-02 (Re-advertisement),Nelson Mandela National Museum,Request for Proposal,Eastern Cape,25.08.2023,15.09.2023,Qunu A/A - Qunu - Mthatha - 5099,N/A,Mandisi Msongelwa,mandisi@nelsonmandelamuseum.org.za,047-501-9507,N/A,Yes,Yes,"Wednesday, 06 September 2023 - 11:30",Nelson Mandela Museum Qunu Youth & Heritage Centre,https://www.etenders.gov.za/home/Download/?blobName=d5a1763a-66ad-4ba2-b628-c77fba71136e.pdf&downloadedFileName=RFP+.2023.01+NMMQYHC+Administration++Operationalisation+RE-ADVERT.pdf
Civil engineering,Maintenance repairs to roads and stormwater infrastructure as and when required in the abm areas located within the south region of ethekwini municipality for a period of 24 months,25/08/2023,1M-25463,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.
5CE or higher
A. Naidoo
031-322 6830
Email: Adrian.Naidoo@durban.gov.za",ADRIAN NAIDOO,ADRIAN.NAIDOO@DURBAN.GOV.ZA,031-322-6830,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e650b942-ede8-47dc-95c3-2a6fec988d20.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Services: General,"Provision of services for the crane’s maintenance, service, fault finding & repairs to ship-to-shore (sts) cranes at the cape town port terminal on an as and when required",25/08/2023,TPT/2023/08/0014/40129/RFQ,Transnet National Ports Authority,Request for Bid(Open-Tender),Western Cape,25.08.2023,08.09.2023,"1 Container Road, Foreshore - Port Terminals Admin building - Cape Town - 8000","A non-compulsory pre-proposal site meeting and RFQ briefing will be conducted at 1 container road, foreshore at Container Terminal, Admin building at Cape Town Port Terminals, Ground floor (security desk) on Friday, 01 September 2023, at 10:30 for a period of ± two (2) hours.",Noloyiso Alam,noloyiso.alam@transnet.net,021-449-3478,N/A,Yes,NO,"Friday, 01 September 2023 - 10:30","1 container road, foreshore at Container Terminal, Admin building at Cape Town Port Terminals","https://www.etenders.gov.za/home/Download/?blobName=78f24ab1-3f31-4766-abdd-08b3f9325b7f.pdf&downloadedFileName=8.+Supplier+Integrity+Pact.pdf, https://www.etenders.gov.za/home/Download/?blobName=1291c406-13a4-4bd1-be7e-09a136227dd4.pdf&downloadedFileName=2.+Annexure+A+-+Scope+of+work+for+Technical+Support+STS.pdf, https://www.etenders.gov.za/home/Download/?blobName=0244608a-a686-48a6-96df-0b54872ff767.pdf&downloadedFileName=5.+Master+Agreement+for+STS+Cranes+Services.pdf, https://www.etenders.gov.za/home/Download/?blobName=f6bcbd45-4c45-496e-bf41-5d69217de45a.pdf&downloadedFileName=4.+Annexure+C+-+Pricing+Schedule.pdf, https://www.etenders.gov.za/home/Download/?blobName=3d1d3126-a468-49d2-9a09-90473353ac09.pdf&downloadedFileName=6.+Transnet+General+Bid+Conditions.pdf, https://www.etenders.gov.za/home/Download/?blobName=179d8131-84a7-4564-970d-905f2ae35951.pdf&downloadedFileName=1.+Request+for+Quotation+for+STS+cranes+for+3+Years.pdf, https://www.etenders.gov.za/home/Download/?blobName=eb946e09-01da-4b6b-b142-b699fcfce737.pdf&downloadedFileName=7.+Non+Disclosure+Agreement.pdf, https://www.etenders.gov.za/home/Download/?blobName=bd5d7a4f-0ed4-4882-ab41-d79ff6ba38b5.pdf&downloadedFileName=Tender+Advert+%28etender%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=578ab366-f857-4f7c-8862-f978b60d05be.pdf&downloadedFileName=3.+Annexure+B+-+Technical+Evaulation+Criteria.pdf"
Civil engineering,Maintenance repairs to roads and stormwater infrastructure as and when required in the abm areas located within the west region of ethekwini municipality for a period of 24 months,25/08/2023,1M-25464,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.

5CE or higher

A. Naidoo
031-322 6830
Email: Adrian.Naidoo@durban.gov.za",ADRIAN NAIDOO,ADRIAN.NAIDOO@DURBAN.GOV.ZA,031-322-6830,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=14092d84-bb4e-4350-92f7-4cc0233c34b9.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Construction,Construction of school building facility at hector petersen high school,25/08/2023,CDC/368/23,Coega Development Cooperation,Request for Bid(Open-Tender),Eastern Cape,25.08.2023,26.09.2023,,"Documents may be collected during working hours from Friday, 25 August 2023, from 12:00am from CDC’s East London Office.  A non-refundable fee of R1500.00 per document must be deposited or payable by means of electronic transfers to Account Name: CDC – DoE Standard Bank, Account No: 080 396 038, Branch: Pickering Street. For more details on the advert, please visit the CDC website (www.coega.co.za).",Ms Z Mtanda,tendersDoEec@coega.co.za,000-000-0000,000-000-0000,Yes,Yes,"Friday, 01 September 2023 - 11:00","Hector Petersen High School, Erf 958, Zwelitsha in Buffalo City Municipality",https://www.etenders.gov.za/home/Download/?blobName=24e18d0a-7b5f-432f-bc49-e3d2e6bcd8be.pdf&downloadedFileName=CDC-368-23+-+Advert.pdf
Information and communication,Supply and delivery of it software,25/08/2023,COR-IT10/2023/2024,Capricorn District Municipality,Request for Quotation,Limpopo,25.08.2023,26.09.2023,41 Biccard Street - Polokwane - Polokwane - 0700,N/A,Monville Sebela,sebelam@cdm.org.za,015-294-1225,N/A,Yes,Yes,"Friday, 01 September 2023 - 09:00","Capricorn District Municipality, Council Chamber, 41 Biccard Street, Polokwane","https://www.etenders.gov.za/home/Download/?blobName=26dbf2d1-6efb-4bf1-a8a8-8f99f6318abb.pdf&downloadedFileName=Supply+and+Delivery+of+IT+Software+Tender+document.pdf, https://www.etenders.gov.za/home/Download/?blobName=01cf3ea3-bc4a-43ba-975f-ed4feb554d01.pdf&downloadedFileName=Bid+Notice+Supply+and+Delivery+of+IT+Software.pdf"
Scientific research and development,Call for proposals from accredited social housing institutions to develop social housing on portion 1 of erf 2050 cator manor (sherwood),25/08/2023,1H-24156,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,24.11.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"A COMPULSORY clarification meeting and site inspection will be held with the representative(s) of the Employer at 11:00-12:00, on 2023-08-31, at 144 Forty Fifth Avenue, Sherwood.
Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-11-02. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-11-09.
Technical:
Nokuthula Madondo
031-311 3218
Contractual:
Bhekumuzi Mhlongo
031-322 9264",BHEKUMUZI MHLONGO,BHEKUMUZI.MHLONGO@DURBAN.GOV.ZA,031-322-9264,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00","at 144 Forty Fifth Avenue, Sherwood",https://www.etenders.gov.za/home/Download/?blobName=726d277e-b6c4-46a9-a2fb-5347afc94475.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Scientific research and development,"Call for proposals from accredited social housing institutions to develop social housing on 10 morans lane, durban",25/08/2023,1H-24160,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,24.11.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"A COMPULSORY clarification meeting and site inspection will be held with the representative(s) of the Employer at 10:00 – 11:00, on 2023-08-31, at 10 Morans Lane, Durban.
Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-11-02. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-11-09.
Technical:
Nokuthula Madondo
031-311 3218
Contractual:
Bhekumuzi Mhlongo
031-322 9264",BHEKUMUZI MHLONGO,BHEKUMUZI.MHLONGO@DURBAN.GOV.ZA,031-322-9264,N/A,Yes,Yes,"Thursday, 31 August 2023 - 10:00","10 Morans Lane, Durban",https://www.etenders.gov.za/home/Download/?blobName=0f514bb0-84d9-41f2-819f-cc3a2d68f49e.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Administrative and support activities,"Request for quotation (rfq) for appointment of occupational health, safety and environment (“ohse”) agent services for:

the design construction implementation of the completion of the passenger rail of south africa (“prasa”) western cape (“wc”) central corridor (“cc”) railway signaling system (“rss”) relating to works between prasa & tmc for the design, construction, and implementation of a new railway system, intergration in rm&tcc and perway and ohte alignment wthin the track layout.",25/08/2023,HO/SAD/10342616/08/2023,Passenger Rail Agency of South Africa,Request for Quotation,National,25.08.2023,04.09.2023,30 Wolmarans Street - BRAAMFONTEIN - JOHANNESBURG - 2001,N/A,Lulama Lufundo,llufundo@prasa.com,012-748-7221,012-748-7221,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=14b2f9d5-8545-4cf8-860a-51a0c62544e9.docx&downloadedFileName=RFQ+_+WCCCRS+_+OHSE_.docx
Supplies: Medical,"The supply, delivery, installation, commissioning and maintenance of magnetic resonance imaging (mri) to gauteng health institutions for a period three years",25/08/2023,GT/GDH/063/2023,Gauteng - Health,Request for Bid(Open-Tender),Gauteng,25.08.2023,15.09.2023,45 Commissioner Street - Marshalltown - JOHANNESBURG - 2000,"Briefing Session: VIP BOARD ROOM RAHIMA MOOSA MOTHER AND CHILD HOSPITAL
Cnr Oudtshoorn Street & Fuel Road Coronationville, Johannesburg.
Evaluation methodology: please refer Section 1 page 48 of 88 and Page 49 of 88.",Jerry Phukuje/Mzimkhulu Gunundu,mzimkhulu.gunundu@gauteng.gov.za,011-241-5715,000-000-0000,Yes,Yes,"Friday, 01 September 2023 - 10:00",VIP BOARDROOM RAHIMA MOOSA MOTHER AND CHILD HOSPITAL Cnr Oudtshoorn Street & Fuel Road Coronationvil,"https://www.etenders.gov.za/home/Download/?blobName=e2d745cd-8323-4ac8-9469-2dfd22077fb1.pdf&downloadedFileName=GT+GDH+063+2023+SECTION+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=24f57410-c375-4cb5-98ae-6041f7b399b0.xlsx&downloadedFileName=Pricing+Schedule+GT+GDH+063+2023.xlsx, https://www.etenders.gov.za/home/Download/?blobName=81d9fdf8-5f3c-4248-aa9a-7129b39fb9e7.xls&downloadedFileName=Technical+Specifications+GT+GDH+063+2023.xls, https://www.etenders.gov.za/home/Download/?blobName=8d36ee06-3ce0-45ac-98a7-913f9a008db2.pdf&downloadedFileName=GT+GDH+063+2023+SECTION+2.pdf"
